"","2016","2017","2018","2019","2020","2021","2022","2023"
"All",18133,20774,22554,23087,19658,17454,16276,16793
"15 - 29",2507,3116,3633,3673,3062,2842,2626,2780
"30 - 44",5432,6372,7076,7293,6020,5494,5331,5883
"45 - 55",5073,5492,5587,5490,4445,3651,3220,3217
"55+",5094,5770,6214,6585,6085,5419,5028,4843
"Unknown age",27,24,44,46,46,48,71,70
"male",14155,16458,18134,18555,15708,14081,13158,13872
"female",3951,4292,4376,4486,3904,3325,3047,2851
"Unknown Sex",27,24,44,46,46,48,71,70
"NHW",8342,9937,11033,11597,9975,8505,7693,7986
"NHB",0,0,0,0,0,0,0,0
"Hispanic",68,78,58,58,25,2,1,0
"AAPI",1302,1527,1562,1539,1376,1207,1142,1214
"Other or Unknown",8421,9232,9901,9893,8282,7740,7440,7593
